name,x,y
安庆大龙山机场,117.6696135,30.25655695
蚌埠蚌埠机场,117.3570799,32.92949891
阜阳西关机场,115.8209323,32.90121133
合肥骆岗机场,117.3139633,31.78519542
黄山屯溪机场,118.2663459,29.72915164
北京南苑南苑机场,116.4014731,39.80887069
北京首都首都国际机场,116.6034073,40.08821136
福州长乐国际机场,119.6794453,25.93444903
晋江晋江机场,118.5985479,24.80608521
连城连城机场,116.821448,25.60417681
武夷山武夷山机场,118.0115228,27.71060765
厦门高崎国际机场,118.1380628,24.54034126
酒泉酒泉机场,98.50841451,39.74147377
敦煌敦煌机场,94.81117013,40.17254786
庆阳西峰镇机场,107.6736737,35.67720142
嘉峪关嘉峪关机场,98.34860838,39.86810973
兰州中川机场,103.6246696,36.51358027
广州白云国际机场,113.3088649,23.39238792
佛山沙堤机场,113.1340256,23.03509484
梅县梅县机场,116.1995435,24.37149137
汕头外砂机场,116.7699391,23.43394785
深圳宝安国际机场,113.827164,22.65045597
湛江湛江机场,110.3727768,21.21817818
珠海三灶机场,113.3830207,22.01495915
北海福城机场,109.1226279,21.47271824
桂林两江国际机场,110.058191,25.2213419
柳州白莲机场,109.4112136,24.20890925
南宁吴墟机场,108.2972336,22.80649294
梧州长州岛机场,111.305472,23.48539464
兴义兴义机场,104.96588,25.08701246
百色田阳机场,106.8112701,23.7297593
贵阳龙洞堡机场,106.8045956,26.54657606
铜仁大兴机场,109.3168481,27.88821374
遵义遵义机场,106.9312603,27.69996138
黎平黎平机场,109.1649711,26.32295152
安顺黄果树机场,105.8829681,26.25988281
海口美兰国际机场,110.4686388,19.94452442
三亚凤凰国际机场,109.4148851,18.31347403
邯郸邯郸机场,114.4411582,36.53001007
秦皇岛山海关机场,119.7282722,39.9739897
石家庄正定机场,114.7053671,38.2839593
安阳安阳机场,114.3518065,36.11026672
郑州新郑国际机场,113.8526054,34.53146214
洛阳北郊机场,112.4475248,34.65736782
南阳姜营机场,112.6245184,32.98844283
大庆萨尔图机场,125.0424515,46.66331135
黑河黑河机场,127.3266674,50.18595662
哈尔滨太平国际机场,126.2496034,45.62882567
佳木斯东郊机场,130.2847346,46.8137796
牡丹江海浪机场,129.5850045,44.54429655
齐齐哈尔三家子机场,123.9277537,47.24611503
恩施许家坪机场,109.4933292,30.32400982
武汉天河国际机场,114.2175158,30.77606357
襄樊刘集机场,112.2971152,32.15236455
宜昌三峡机场,111.4922548,30.55425459
常德桃花机场,112.2719509,29.24832472
长沙黄花国际机场,113.2269162,28.19253431
张家界荷花机场,110.4575444,29.10995089
芷江芷江机场,109.7120998,27.44761911
永州零陵机场,111.6243529,26.34749287
